"Date","Time","I","tempC","DO.meas","atmo.pressure","salinity"
"2011-12-05","00:00:00",0,20.94,7.133,0.985816,0.2
"2011-12-05","00:10:00",0,20.92,7.073,0.985816,0.2
"2011-12-05","00:20:00",0,20.87,7.058,0.985816,0.2
"2011-12-05","00:30:00",0,20.86,7.026,0.985816,0.2
"2011-12-05","00:40:00",0,20.92,7.111,0.985816,0.2
"2011-12-05","00:50:00",0,20.88,7.097,0.985816,0.2
"2011-12-05","01:00:00",0,20.82,6.923,0.985816,0.2
"2011-12-05","01:10:00",0,20.8,6.892,0.985816,0.2
"2011-12-05","01:20:00",0,20.86,6.894,0.985816,0.2
"2011-12-05","01:30:00",0,20.81,6.902,0.985816,0.2
"2011-12-05","01:40:00",0,20.78,6.804,0.985816,0.2
"2011-12-05","01:50:00",0,20.76,6.756,0.985816,0.2
"2011-12-05","02:00:00",0,20.76,6.707,0.985816,0.2
"2011-12-05","02:10:00",0,20.74,6.769,0.985816,0.2
"2011-12-05","02:20:00",0,20.67,6.748,0.985816,0.2
"2011-12-05","02:30:00",0,20.68,6.785,0.985816,0.2
"2011-12-05","02:40:00",0,20.65,6.802,0.985816,0.2
"2011-12-05","02:50:00",0,20.56,6.644,0.985816,0.2
"2011-12-05","03:00:00",0,20.54,6.682,0.985816,0.2
"2011-12-05","03:10:00",0,20.48,6.734,0.985816,0.2
"2011-12-05","03:20:00",0,20.45,6.673,0.985816,0.2
"2011-12-05","03:30:00",0,20.4,6.639,0.985816,0.2
"2011-12-05","03:40:00",0,20.38,6.603,0.985816,0.2
"2011-12-05","03:50:00",0,20.33,6.643,0.985816,0.2
"2011-12-05","04:00:00",0,20.28,6.591,0.985816,0.2
"2011-12-05","04:10:00",0,20.25,6.504,0.985816,0.2
"2011-12-05","04:20:00",0,20.24,6.551,0.985816,0.2
"2011-12-05","04:30:00",0,20.2,6.56,0.985816,0.2
"2011-12-05","04:40:00",0.123624675,20.15,6.499,0.985816,0.2
"2011-12-05","04:50:00",1.607120781,20.12,6.417,0.985816,0.2
