"Date","Time","I","tempC","DO.meas","atmo.pressure","salinity"
"2011-12-06","00:00:00",0,21.79,6.99,0.985816,0.2
"2011-12-06","00:10:00",0,21.73,6.927,0.985816,0.2
"2011-12-06","00:20:00",0,21.69,6.987,0.985816,0.2
"2011-12-06","00:30:00",0,21.64,6.968,0.985816,0.2
"2011-12-06","00:40:00",0,21.58,6.9,0.985816,0.2
"2011-12-06","00:50:00",0,21.51,6.88,0.985816,0.2
"2011-12-06","01:00:00",0,21.46,6.824,0.985816,0.2
"2011-12-06","01:10:00",0,21.39,6.9,0.985816,0.2
"2011-12-06","01:20:00",0,21.32,6.858,0.985816,0.2
"2011-12-06","01:30:00",0,21.26,6.838,0.985816,0.2
"2011-12-06","01:40:00",0,21.22,6.747,0.985816,0.2
"2011-12-06","01:50:00",0,21.16,6.795,0.985816,0.2
"2011-12-06","02:00:00",0,21.11,6.758,0.985816,0.2
"2011-12-06","02:10:00",0,21.05,6.616,0.985816,0.2
"2011-12-06","02:20:00",0,20.99,6.56,0.985816,0.2
"2011-12-06","02:30:00",0,20.94,6.333,0.985816,0.2
"2011-12-06","02:40:00",0,20.89,6.533,0.985816,0.2
"2011-12-06","02:50:00",0,20.85,6.552,0.985816,0.2
"2011-12-06","03:00:00",0,20.8,6.627,0.985816,0.2
"2011-12-06","03:10:00",0,20.76,6.656,0.985816,0.2
"2011-12-06","03:20:00",0,20.71,6.566,0.985816,0.2
"2011-12-06","03:30:00",0,20.66,6.453,0.985816,0.2
"2011-12-06","03:40:00",0,20.6,6.511,0.985816,0.2
"2011-12-06","03:50:00",0,20.56,6.567,0.985816,0.2
"2011-12-06","04:00:00",0,20.52,6.464,0.985816,0.2
"2011-12-06","04:10:00",0,20.47,6.351,0.985816,0.2
"2011-12-06","04:20:00",0,20.42,6.517,0.985816,0.2
"2011-12-06","04:30:00",0,20.39,6.541,0.985816,0.2
"2011-12-06","04:40:00",0.123624675,20.36,6.448,0.985816,0.2
"2011-12-06","04:50:00",1.730745457,20.32,6.47,0.985816,0.2
"2011-12-06","05:00:00",7.293855854,20.28,6.393,0.985816,0.2
"2011-12-06","05:10:00",18.42007665,20.24,6.47,0.985816,0.2
"2011-12-06","05:20:00",34.86215849,20.21,6.331,0.985816,0.2
"2011-12-06","05:30:00",60.08159229,20.17,6.331,0.985816,0.2
"2011-12-06","05:40:00",108.171591,20.14,6.246,0.985816,0.2
"2011-12-06","05:50:00",174.8052911,20.11,6.301,0.985816,0.2
"2011-12-06","06:00:00",264.1859315,20.09,6.267,0.985816,0.2
"2011-12-06","06:10:00",365.9290394,20.06,6.425,0.985816,0.2
"2011-12-06","06:20:00",435.4061071,20.03,6.566,0.985816,0.2
"2011-12-06","06:30:00",529.8553591,20.04,6.437,0.985816,0.2
"2011-12-06","06:40:00",600.4450488,20.03,6.214,0.985816,0.2
"2011-12-06","06:50:00",679.3175918,20.03,6.398,0.985816,0.2
"2011-12-06","07:00:00",750.4017802,20.02,6.538,0.985816,0.2
"2011-12-06","07:10:00",808.752627,20,6.523,0.985816,0.2
"2011-12-06","07:20:00",888.9850414,19.97,6.448,0.985816,0.2
"2011-12-06","07:30:00",1025.590308,19.96,6.45,0.985816,0.2
"2011-12-06","07:40:00",1054.394857,19.95,6.543,0.985816,0.2
"2011-12-06","07:50:00",869.5759674,19.92,6.46,0.985816,0.2
"2011-12-06","08:00:00",996.7857584,19.97,6.668,0.985816,0.2
"2011-12-06","08:10:00",1054.889356,19.98,6.657,0.985816,0.2
"2011-12-06","08:20:00",1241.438991,20.04,6.665,0.985816,0.2
"2011-12-06","08:30:00",1325.256521,20.07,6.819,0.985816,0.2
"2011-12-06","08:40:00",1258.004698,20.1,6.895,0.985816,0.2
"2011-12-06","08:50:00",1256.397577,20.15,6.275,0.985816,0.2
"2011-12-06","09:00:00",1209.543825,20.19,6.684,0.985816,0.2
"2011-12-06","09:10:00",1257.26295,20.23,6.694,0.985816,0.2
"2011-12-06","09:20:00",1645.073557,20.29,6.69,0.985816,0.2
"2011-12-06","09:30:00",1811.101496,20.32,6.39,0.985816,0.2
"2011-12-06","09:40:00",1656.570652,20.39,6.777,0.985816,0.2
"2011-12-06","09:50:00",1716.652244,20.45,6.48,0.985816,0.2
"2011-12-06","10:00:00",1875.509952,20.53,6.696,0.985816,0.2
"2011-12-06","10:10:00",1990.975399,20.61,7.228,0.985816,0.2
"2011-12-06","10:20:00",2045.988379,20.68,7.233,0.985816,0.2
"2011-12-06","10:30:00",2037.458277,20.75,7.24,0.985816,0.2
"2011-12-06","10:40:00",2075.287427,20.85,7.342,0.985816,0.2
"2011-12-06","10:50:00",2052.664112,20.93,7.386,0.985816,0.2
"2011-12-06","11:00:00",1885.894425,21,7.343,0.985816,0.2
"2011-12-06","11:10:00",2082.210409,21.08,7.508,0.985816,0.2
"2011-12-06","11:20:00",1994.560514,21.14,7.497,0.985816,0.2
"2011-12-06","11:30:00",2336.753616,21.24,7.511,0.985816,0.2
"2011-12-06","11:40:00",2058.474472,21.34,7.419,0.985816,0.2
"2011-12-06","11:50:00",1982.692545,21.43,7.381,0.985816,0.2
"2011-12-06","12:00:00",1788.972679,21.53,7.389,0.985816,0.2
"2011-12-06","12:10:00",1766.349363,21.58,7.402,0.985816,0.2
"2011-12-06","12:20:00",1659.414019,21.65,7.419,0.985816,0.2
