"Date","Time","I","tempC","DO.meas","atmo.pressure","salinity"
"4-Dec-11","0:01:54",0,23.04,6.757,0.985816,0.2
"4-Dec-11","0:11:54",0,22.99,6.798,0.985816,0.2
"4-Dec-11","0:21:54",0,22.91,6.728,0.985816,0.2
"4-Dec-11","0:31:54",0,22.9,6.753,0.985816,0.2
"4-Dec-11","0:41:54",0,22.8,6.819,0.985816,0.2
"4-Dec-11","0:51:54",0,22.69,6.711,0.985816,0.2
"4-Dec-11","1:01:54",0,22.66,6.647,0.985816,0.2
"4-Dec-11","1:11:54",0,22.59,6.548,0.985816,0.2
"4-Dec-11","1:21:54",0,22.55,6.607,0.985816,0.2
"4-Dec-11","1:31:54",0,22.49,6.47,0.985816,0.2
"4-Dec-11","1:41:54",0,22.46,6.661,0.985816,0.2
"4-Dec-11","1:51:54",0,22.33,6.665,0.985816,0.2
"4-Dec-11","2:01:54",0,22.3,6.645,0.985816,0.2
"4-Dec-11","2:11:54",0,22.22,6.617,0.985816,0.2
"4-Dec-11","2:21:54",0,22.14,6.617,0.985816,0.2
"4-Dec-11","2:31:54",0,22.07,6.535,0.985816,0.2
"4-Dec-11","2:41:54",0,21.99,6.468,0.985816,0.2
"4-Dec-11","2:51:54",0,21.97,6.457,0.985816,0.2
"4-Dec-11","3:01:54",0,21.84,6.444,0.985816,0.2
"4-Dec-11","3:11:54",0,21.79,6.527,0.985816,0.2
"4-Dec-11","3:21:54",0,21.72,6.473,0.985816,0.2
"4-Dec-11","3:31:54",0,21.66,6.41,0.985816,0.2
"4-Dec-11","3:41:54",0,21.59,6.378,0.985816,0.2
"4-Dec-11","3:51:54",0,21.55,6.341,0.985816,0.2
"4-Dec-11","4:01:54",0,21.49,6.355,0.985816,0.2
"4-Dec-11","4:11:54",0,21.41,6.282,0.985816,0.2
"4-Dec-11","4:21:54",0,21.33,6.287,0.985816,0.2
"4-Dec-11","4:31:54",0,21.31,6.298,0.985816,0.2
"4-Dec-11","4:41:54",0.123624675,21.3,6.278,0.985816,0.2
"4-Dec-11","4:51:54",1.236246755,21.23,6.161,0.985816,0.2
"4-Dec-11","5:01:54",6.181233774,21.18,6.182,0.985816,0.2
"4-Dec-11","5:11:54",17.43107924,21.13,6.22,0.985816,0.2
